document_id,hansardDate,year,month,day_of_week,scrapMethod,docLength,decade,split_type,wordCount,actual_word_count,actual_doc_length,text_source,quality_score,quality_grade,export_timestamp
67323b1d263cfe868c63c564,2024-10-22,2024,10,Tuesday,pdfplumber,long,2020s,train,69426,69426,long,content_text,99.60665269042627,A+,2025-06-04 18:19:03.766570
67323b75263cfe868c63c567,2024-11-06,2024,11,Wednesday,pdfplumber,long,2020s,train,72621,72621,long,content_text,99.60665269042627,A+,2025-06-04 18:19:03.766570
6732558552c74147fa5731ae,1959-09-11,1959,9,Friday,tesseract,medium,1950s,train,3816,3663,medium,ocr_text,99.60665269042627,A+,2025-06-04 18:19:03.766570
6732576e52c74147fa5731cb,1960-06-21,1960,6,Tuesday,tesseract,long,1960s,train,37059,37892,long,ocr_text,99.60665269042627,A+,2025-06-04 18:19:03.766570
6732577052c74147fa5731cc,1960-08-12,1960,8,Friday,googlevision,long,1960s,train,33444,32726,long,ocr_text,99.60665269042627,A+,2025-06-04 18:19:03.766570
6732577c52c74147fa5731d1,1960-09-13,1960,9,Tuesday,tesseract,short,1960s,train,0,34983,long,ocr_text,99.60665269042627,A+,2025-06-04 18:19:03.766570
6732580d52c74147fa5731d6,1960-12-06,1960,12,Tuesday,googlevision,long,1960s,train,35424,34600,long,ocr_text,99.60665269042627,A+,2025-06-04 18:19:03.766570
6732581b52c74147fa5731d8,1960-12-08,1960,12,Thursday,tesseract,long,1960s,train,27356,28396,long,ocr_text,99.60665269042627,A+,2025-06-04 18:19:03.766570
6732581c52c74147fa5731d9,1960-12-09,1960,12,Friday,tesseract,long,1960s,train,27604,28194,long,ocr_text,99.60665269042627,A+,2025-06-04 18:19:03.766570
6732586a52c74147fa5731e0,1960-12-15,1960,12,Thursday,googlevision,long,1960s,train,35355,33762,long,ocr_text,99.60665269042627,A+,2025-06-04 18:19:03.766570
6732588552c74147fa5731e3,1960-12-21,1960,12,Wednesday,tesseract,long,1960s,train,42230,43121,long,ocr_text,99.60665269042627,A+,2025-06-04 18:19:03.766570
6732599f52c74147fa5731f7,1961-10-16,1961,10,Monday,tesseract,long,1960s,train,40951,41211,long,ocr_text,99.60665269042627,A+,2025-06-04 18:19:03.766570
67325a4652c74147fa573205,1962-01-09,1962,1,Tuesday,tesseract,long,1960s,train,32186,32657,long,ocr_text,99.60665269042627,A+,2025-06-04 18:19:03.766570
