Rank,Trial ID,α (TF-IDF),β (Embedding),γ (Entity),Silhouette Score
1,25,0.1051,0.6342,0.1047,0.0695
2,26,0.1101,0.6352,0.1069,0.0662
3,28,0.1046,0.6402,0.2,0.0432
4,27,0.1184,0.5259,0.1062,0.0425
5,30,0.1405,0.6569,0.1345,0.0416
6,33,0.1698,0.6973,0.1785,0.033
7,32,0.1063,0.6058,0.2259,0.0319
8,37,0.3915,0.6112,0.1503,0.0263
9,15,0.2215,0.6318,0.1241,0.0261
10,24,0.2797,0.6364,0.159,0.0257
11,40,0.2847,0.5611,0.1906,0.024
12,5,0.286,0.3532,0.1665,0.0239
13,23,0.1802,0.6953,0.102,0.0236
14,7,0.2373,0.5559,0.2877,0.0221
15,34,0.253,0.5437,0.1463,0.0215
16,6,0.2814,0.5891,0.2571,0.0208
17,9,0.1552,0.2008,0.1647,0.0197
18,13,0.2294,0.3266,0.2995,0.0196
19,31,0.2,0.5007,0.1075,0.0192
20,39,0.1985,0.67,0.1188,0.019
21,22,0.2294,0.6773,0.21,0.0182
22,12,0.3095,0.4537,0.1416,0.0179
23,3,0.4171,0.4863,0.2953,0.0172
24,36,0.5297,0.5713,0.3254,0.0169
25,18,0.4574,0.4646,0.3649,0.0162
26,29,0.1831,0.5884,0.2335,0.0159
27,21,0.1475,0.3836,0.1201,0.0155
28,17,0.5785,0.5887,0.2754,0.0154
29,11,0.3667,0.2795,0.1899,0.0147
30,38,0.1308,0.416,0.1768,0.0143
31,10,0.4864,0.4143,0.3024,0.0136
32,19,0.4245,0.6825,0.385,0.0134
33,4,0.3652,0.4325,0.3482,0.0133
34,14,0.1093,0.2649,0.3959,0.0129
35,35,0.3358,0.4974,0.2189,0.0127
36,8,0.3462,0.3317,0.2606,0.0117
37,16,0.5756,0.5231,0.2865,0.0117
38,20,0.5584,0.3642,0.3678,0.0112
39,2,0.4579,0.4681,0.337,0.0111
40,1,0.5151,0.2443,0.2344,0.0087
